"Code","KeyName","ALT","CTRL","ALT+CTRL","ALT+SHIFT","CTRL+SHIFT","ALT+CTRL+SHIFT","WIN","WIN+ALT","WIN+CTRL","WIN+SHIFT","WIN+ALT+CTRL","WIN+ALT+SHIFT","WIN+CTRL+SHIFT","WIN+ALT+CTRL+SHIFT",
"0x8","戻る","","","","","","","X","","X","","","","",""
"0x9","Tab","X","","X","X","","X","X","X","","","","X","",""
"0xc","Clear","","","","","","","","","","","","","",""
"0xd","入力","","","","","","","X","","X","X","","","",""
"0x13","Pause","","","","","","","X","","","","","","",""
"0x14","Capital","","","","","","","","","","","","","",""
"0x15","KanaMode","","","","","","","","","","","","","",""
"0x1b","Escape","","X","","","X","","","","","","","","",""
"0x1c","IMEConvert","","","","","","","","","","","","","",""
"0x1d","IMENonconvert","","","","","","","","","","","","","",""
"0x1e","IMEAceept","","","","","","","","","","","","","",""
"0x1f","IMEModeChange","","","","","","","","","","","","","",""
"0x20","Space","X","","","","","","X","","X","X","","","X","X"
"0x21","PageUp","","","","","","","X","","","","","","",""
"0x22","PageDown","","","","","","","X","","","","","","",""
"0x23","終了","","","","","","","","","","","","","",""
"0x24","ホーム","","","","","","","X","","","","","","",""
"0x25","Left","","","","","","","X","X","X","X","","","",""
"0x26","Up","","","","","","","X","X","","X","","","",""
"0x27","Right","","","","","","","X","X","X","X","","","",""
"0x28","Down","","","","","","","X","X","","X","","","",""
"0x29","Select","","","","","","","","","","","","","",""
"0x2a","Print","","","","","","","","","","","","","",""
"0x2b","Execute","","","","","","","","","","","","","",""
"0x2c","PrintScreen","","","","","","","X","X","","","","","",""
"0x2d","Insert","","","","","","","","","","","","","",""
"0x2e","Delete","","","X","","","","","","","","","","",""
"0x2f","Help","","","","","","","","","","","","","",""
"0x70","F1","","","","","","","X","","","","","","",""
"0x71","F2","","","","","","","","","","","","","",""
"0x72","F3","","","","","","","","","","","","","",""
"0x73","F4","X","","","","","","","","X","","","","",""
"0x74","F5","","","","","","","","","","","","","",""
"0x75","F6","","","","","","","","","","","","","",""
"0x76","F7","","","","","","","","","","","","","",""
"0x77","F8","","","","","","","","","","","","","",""
"0x78","F9","","","","","","","","","","","","","",""
"0x79","F10","","","","","","","","","","","","","",""
"0x7a","F11","","","","","","","","","","","","","",""
"0x7b","F12","","","","","","","","","","","","","",""
"0x7c","F13","","","","","","","","","","","","","",""
"0x7d","F14","","","","","","","X","","X","","","","",""
"0x7e","F15","","","","","","","X","","","","","","",""
"0x7f","F16","","","","","","","X","","","","","","",""
"0x80","F17","","","","","","","","","","","","","",""
"0x81","F18","","","","","","","","","","","","","",""
"0x82","F19","","","","","","","","","","","","","",""
"0x83","F20","","","","","","","","","","","","","",""
"0x84","F21","","","","","","","X","","X","X","","X","X",""
"0x85","F22","","","","","","","X","","X","X","","","X",""
"0x86","F23","","","","","","","","X","X","","","","",""
"0x87","F24","","","","","","","X","","X","","","","X",""
"0x90","NumLock","","","","","","","","","","","","","",""
"0x91","Scroll","","","","","","","","","","","","","",""
"0x30","0","","","","","","","X","X","X","X","","","X",""
"0x31","1","","","","","","","X","X","X","X","","","X",""
"0x32","2","","","","","","","X","X","X","X","","","X",""
"0x33","3","","","","","","","X","X","X","X","","","X",""
"0x34","4","","","","","","","X","X","X","X","","","X",""
"0x35","5","","","","","","","X","X","X","X","","","X",""
"0x36","6","","","","","","","X","X","X","X","","","X",""
"0x37","7","","","","","","","X","X","X","X","","","X",""
"0x38","8","","","","","","","X","X","X","X","","","X",""
"0x39","9","","","","","","","X","X","X","X","","","X",""
"0x41","A","","","","","","","X","","","","","","",""
"0x42","B","","","","","","","X","X","","","","","X",""
"0x43","C","","","","","","","X","","X","X","","","",""
"0x44","D","","","","","","","X","X","X","","","","","X"
"0x45","E","","","","","","","X","","X","","","","",""
"0x46","F","","","","","","","X","X","X","","","","",""
"0x47","G","","","","","","","X","X","","","","","",""
"0x48","H","","","","","","","X","","","X","","","",""
"0x49","I","","","","","","","X","","","","","","",""
"0x4a","J","","","","","","","X","","","","","","",""
"0x4b","K","","","","","","","X","X","","","","","",""
"0x4c","L","","","","","","","X","","X","","","","X","X"
"0x4d","M","","","","","","","X","X","X","X","","","",""
"0x4e","N","","","","","","","X","","X","","","","","X"
"0x4f","O","","","","","","","X","","X","","","","","X"
"0x50","P","","","","","","","X","X","X","X","","","","X"
"0x51","Q","","","","","","","X","","X","","","","",""
"0x52","R","","","","","","","X","X","","","","","",""
"0x53","S","","","","","","","X","","X","X","","","",""
"0x54","T","","","","","","","X","X","","X","","","","X"
"0x55","U","","","","","","","X","","","","","","",""
"0x56","V","","","","","","","X","","X","X","","","",""
"0x57","W","","","","","","","X","X","","X","","","","X"
"0x58","X","","","","","","","X","","","","","","","X"
"0x59","Y","","","","","","","","X","","","","","","X"
"0x5a","Z","","","","","","","X","","","","","","",""
"0xba","Oem1","","","","","","","X","","","","","","",""
"0xbb","Oemplus","","","","","","","X","","","","","","",""
"0xbc","Oemcomma","","","","","","","X","","","","","","",""
"0xbd","OemMinus","","","","","","","","","","","","","",""
"0xbe","OemPeriod","","","","","","","X","","","","","","",""
"0xbf","OemQuestion","","","","","","","","","","","","","",""
"0xc0","Oemtilde","","","","","","","X","","","X","","","",""
"0xdb","OemOpenBrackets","","","","","","","","","","","","","",""
"0xdc","Oem5","","","","","","","","","","","","","",""
"0xdd","Oem6","","","","","","","","","","","","","",""
"0xde","Oem7","","","","","","","","","","","","","",""
"0xdf","Oem8","","","","","","","","","","","","","",""
"0xe2","OemBackslash","","","","","","","","","","","","","",""
"0x60","NumPad0","","","","","","","","","","","","","",""
"0x61","NumPad1","","","","","","","","","","","","","",""
"0x62","NumPad2","","","","","","","","","","","","","",""
"0x63","NumPad3","","","","","","","","","","","","","",""
"0x64","NumPad4","","","","","","","","","","","","","",""
"0x65","NumPad5","","","","","","","","","","","","","",""
"0x66","NumPad6","","","","","","","","","","","","","",""
"0x67","NumPad7","","","","","","","","","","","","","",""
"0x68","NumPad8","","","","","","","","","","","","","",""
"0x69","NumPad9","","","","","","","","","","","","","",""
"0x6a","Multiply","","","","","","","","","","","","","",""
"0x6b","Add","","","","","","","X","","","","","","",""
"0x6c","Separator","","","","","","","","","","","","","",""
"0x6d","Subtract","","","","","","","","","","","","","",""
"0x6e","Decimal","","","","","","","","","","","","","",""
"0x6f","Divide","","","","","","","","","","","","","",""
